,Age Group,Sex,Year,Count
All Sites Combined,70-74,M,2007.0,2013.0
All Sites Combined,70-74,M,2008.0,1932.0
All Sites Combined,70-74,M,2009.0,2291.0
All Sites Combined,70-74,M,2010.0,2431.0
All Sites Combined,70-74,M,2011.0,2750.0
All Sites Combined,75-79,F,1999.0,337.0
All Sites Combined,75-79,F,2000.0,408.0
All Sites Combined,75-79,F,2001.0,396.0
All Sites Combined,75-79,F,2002.0,400.0
All Sites Combined,75-79,F,2003.0,475.0
All Sites Combined,75-79,F,2004.0,457.0
All Sites Combined,75-79,F,2005.0,519.0
All Sites Combined,75-79,F,2006.0,574.0
All Sites Combined,75-79,F,2007.0,622.0
All Sites Combined,75-79,F,2008.0,672.0
All Sites Combined,75-79,F,2009.0,674.0
All Sites Combined,75-79,F,2010.0,710.0
All Sites Combined,75-79,F,2011.0,778.0
All Sites Combined,75-79,M,1999.0,717.0
All Sites Combined,75-79,M,2000.0,780.0
All Sites Combined,75-79,M,2001.0,845.0
All Sites Combined,75-79,M,2002.0,945.0
All Sites Combined,75-79,M,2003.0,1050.0
All Sites Combined,75-79,M,2004.0,1107.0
All Sites Combined,75-79,M,2005.0,1202.0
All Sites Combined,75-79,M,2006.0,1452.0
All Sites Combined,75-79,M,2007.0,1794.0
All Sites Combined,75-79,M,2008.0,1685.0
All Sites Combined,75-79,M,2009.0,1729.0
All Sites Combined,75-79,M,2010.0,1900.0
All Sites Combined,75-79,M,2011.0,2017.0
All Sites Combined,80-84,F,1999.0,243.0
All Sites Combined,80-84,F,2000.0,276.0
All Sites Combined,80-84,F,2001.0,249.0
All Sites Combined,80-84,F,2002.0,288.0
All Sites Combined,80-84,F,2003.0,369.0
All Sites Combined,80-84,F,2004.0,406.0
All Sites Combined,80-84,F,2005.0,463.0
All Sites Combined,80-84,F,2006.0,456.0
All Sites Combined,80-84,F,2007.0,552.0
All Sites Combined,80-84,F,2008.0,494.0
All Sites Combined,80-84,F,2009.0,607.0
All Sites Combined,80-84,F,2010.0,603.0
All Sites Combined,80-84,F,2011.0,669.0
All Sites Combined,80-84,M,1999.0,432.0
All Sites Combined,80-84,M,2000.0,479.0
All Sites Combined,80-84,M,2001.0,520.0
All Sites Combined,80-84,M,2002.0,638.0
All Sites Combined,80-84,M,2003.0,691.0
All Sites Combined,80-84,M,2004.0,790.0
All Sites Combined,80-84,M,2005.0,809.0
All Sites Combined,80-84,M,2006.0,902.0
All Sites Combined,80-84,M,2007.0,1217.0
All Sites Combined,80-84,M,2008.0,1082.0
All Sites Combined,80-84,M,2009.0,1113.0
All Sites Combined,80-84,M,2010.0,1148.0
All Sites Combined,80-84,M,2011.0,1313.0
All Sites Combined,85+,F,1999.0,230.0
All Sites Combined,85+,F,2000.0,229.0
All Sites Combined,85+,F,2001.0,245.0
All Sites Combined,85+,F,2002.0,258.0
All Sites Combined,85+,F,2003.0,305.0
All Sites Combined,85+,F,2004.0,340.0
All Sites Combined,85+,F,2005.0,364.0
All Sites Combined,85+,F,2006.0,393.0
All Sites Combined,85+,F,2007.0,486.0
All Sites Combined,85+,F,2008.0,566.0
All Sites Combined,85+,F,2009.0,625.0
All Sites Combined,85+,F,2010.0,640.0
All Sites Combined,85+,F,2011.0,741.0
All Sites Combined,85+,M,1999.0,224.0
All Sites Combined,85+,M,2000.0,273.0
All Sites Combined,85+,M,2001.0,294.0
All Sites Combined,85+,M,2002.0,310.0
All Sites Combined,85+,M,2003.0,354.0
All Sites Combined,85+,M,2004.0,424.0
All Sites Combined,85+,M,2005.0,406.0
All Sites Combined,85+,M,2006.0,529.0
All Sites Combined,85+,M,2007.0,687.0
All Sites Combined,85+,M,2008.0,640.0
All Sites Combined,85+,M,2009.0,683.0
All Sites Combined,85+,M,2010.0,778.0
All Sites Combined,85+,M,2011.0,865.0
Brain and Other Nervous System,5-9,F,2009.0,18.0
Brain and Other Nervous System,40-44,M,2008.0,16.0
Breast,25-29,F,2008.0,17.0
Breast,25-29,F,2009.0,16.0
Breast,25-29,F,2010.0,28.0
Breast,25-29,F,2011.0,17.0
Breast,30-34,F,1999.0,30.0
Breast,30-34,F,2000.0,41.0
Breast,30-34,F,2001.0,26.0
Breast,30-34,F,2002.0,24.0
Breast,30-34,F,2003.0,35.0
Breast,30-34,F,2004.0,39.0
Breast,30-34,F,2005.0,41.0
Breast,30-34,F,2006.0,49.0
Breast,30-34,F,2007.0,42.0
Breast,30-34,F,2008.0,51.0
Breast,30-34,F,2009.0,38.0
Breast,30-34,F,2010.0,26.0
Breast,30-34,F,2011.0,42.0
Breast,35-39,F,1999.0,72.0
Breast,35-39,F,2000.0,63.0
Breast,35-39,F,2001.0,58.0
Breast,35-39,F,2002.0,66.0
Breast,35-39,F,2003.0,93.0
Breast,35-39,F,2004.0,68.0
Breast,35-39,F,2005.0,80.0
Breast,35-39,F,2006.0,88.0
Breast,35-39,F,2007.0,114.0
Breast,35-39,F,2008.0,89.0
Breast,35-39,F,2009.0,84.0
Breast,35-39,F,2010.0,91.0
Breast,35-39,F,2011.0,97.0
Breast,40-44,F,1999.0,129.0
Breast,40-44,F,2000.0,135.0
Breast,40-44,F,2001.0,140.0
Breast,40-44,F,2002.0,157.0
Breast,40-44,F,2003.0,166.0
Breast,40-44,F,2004.0,148.0
Breast,40-44,F,2005.0,156.0
Breast,40-44,F,2006.0,168.0
Breast,40-44,F,2007.0,195.0
Breast,40-44,F,2008.0,174.0
Breast,40-44,F,2009.0,175.0
Breast,40-44,F,2010.0,161.0
Breast,40-44,F,2011.0,182.0
Breast,45-49,F,1999.0,176.0
Breast,45-49,F,2000.0,210.0
Breast,45-49,F,2001.0,183.0
Breast,45-49,F,2002.0,191.0
Breast,45-49,F,2003.0,233.0
Breast,45-49,F,2004.0,192.0
Breast,45-49,F,2005.0,212.0
Breast,45-49,F,2006.0,182.0
Breast,45-49,F,2007.0,248.0
Breast,45-49,F,2008.0,257.0
Breast,45-49,F,2009.0,259.0
Breast,45-49,F,2010.0,228.0
Breast,45-49,F,2011.0,263.0
Breast,50-54,F,1999.0,184.0
Breast,50-54,F,2000.0,218.0
Breast,50-54,F,2001.0,223.0
Breast,50-54,F,2002.0,192.0
Breast,50-54,F,2003.0,222.0
Breast,50-54,F,2004.0,195.0
Breast,50-54,F,2005.0,224.0
Breast,50-54,F,2006.0,217.0
Breast,50-54,F,2007.0,233.0
Breast,50-54,F,2008.0,272.0
Breast,50-54,F,2009.0,253.0
Breast,50-54,F,2010.0,250.0
Breast,50-54,F,2011.0,302.0
Breast,55-59,F,1999.0,149.0
Breast,55-59,F,2000.0,188.0
Breast,55-59,F,2001.0,177.0
Breast,55-59,F,2002.0,178.0
Breast,55-59,F,2003.0,217.0
Breast,55-59,F,2004.0,183.0
Breast,55-59,F,2005.0,215.0
